Date,Customer_ID,Transaction_ID,SKU_Category,SKU,Quantity,Sales_Amount,Unit_price,Avg_price,price_range,unique_prices
13/01/2016,2268,1785,PBV,55TC6,0.33,12.98,39.333333333333336,27.8525,6.450980392156872,7
13/01/2016,8121,1799,29A,IFUHU,1.0,11.19,11.19,6.22861111111111,7.156666666666667,24
13/01/2016,2127,1801,SJS,GFSX0,1.0,72.66,72.66,41.333333333333336,7.939999999999998,5
13/01/2016,7834,1804,29A,0PW5H,3.0,22.38,7.46,6.22861111111111,6.870000000000001,16
13/01/2016,740,1819,C8Z,ERTYE,1.0,16.12,16.12,12.5,10.516666666666666,23
13/01/2016,4429,1856,QV7,S7DDX,1.0,24.66,24.66,12.765,9.47,6
13/01/2016,9504,1857,Q4N,11H2S,2.0,37.99,18.995,11.041363636363636,12.57,18
14/01/2016,4604,1884,29A,IFUHU,1.0,11.19,11.19,5.486944444444444,7.156666666666667,24
14/01/2016,3530,1913,06Z,C07LW,1.0,33.51,33.51,19.16,13.889999999999997,6
14/01/2016,6196,1933,R6E,2AUTF,1.0,31.3,31.3,7.920625,6.569999999999997,5
14/01/2016,6816,1976,PA3,DJMIH,1.0,13.68,13.68,13.68,10.059999999999999,19
14/01/2016,1383,1985,QV7,FZM7U,1.0,6.69,6.69,3.7433333333333336,6.665,72
14/01/2016,6007,1997,29A,PO1N6,1.0,7.44,7.44,5.486944444444444,6.64,18
14/01/2016,3270,2024,2O0,UCK6F,2.0,11.18,5.59,12.86,6.789999999999999,13
14/01/2016,1972,2031,8HU,9YGOS,1.0,26.59,26.59,11.719280303030303,14.5,6
14/01/2016,7685,2066,29A,IFUHU,1.0,11.19,11.19,5.486944444444444,7.156666666666667,24
14/01/2016,8491,2073,29A,0PW5H,3.0,22.38,7.46,5.486944444444444,6.870000000000001,16
14/01/2016,4391,2115,2ML,3483Q,1.0,7.29,7.29,7.523333333333333,7.41,8
15/01/2016,9632,2121,J4R,ZE55T,1.0,21.34,21.34,10.38622807017544,5.586666666666666,8
15/01/2016,3487,2131,FEW,F79YP,1.0,16.91,16.91,9.870666666666667,4.029999999999999,8
15/01/2016,3487,2131,1L6,PQ5EZ,1.0,9.93,9.93,9.93,6.265000000000001,15
15/01/2016,3487,2131,Q4N,967JZ,1.0,10.56,10.56,10.123125000000002,6.89,20
15/01/2016,5757,2157,29A,PO1N6,1.0,7.44,7.44,4.814880952380952,6.64,18
15/01/2016,4800,2188,SIM,A92Z9,1.0,46.99,46.99,35.335,13.480000000000004,6
15/01/2016,1725,2199,2O0,UCK6F,2.0,11.18,5.59,5.59,6.789999999999999,13
15/01/2016,1725,2199,R6E,KS95Q,1.0,8.0,8.0,4.095641025641026,5.366666666666667,26
15/01/2016,1528,2206,PHK,SN48W,1.0,123.23,123.23,123.23,42.045,9
15/01/2016,4828,2209,QV7,FZM7U,1.0,8.62,8.62,8.62,6.665,72
15/01/2016,7033,2213,8HU,9YGOS,2.0,53.18,26.59,11.424285714285714,14.5,6
15/01/2016,6294,2218,C8Z,520UE,1.0,9.06,9.06,9.010000000000002,5.463333333333335,17
15/01/2016,6819,2221,LPF,BOH1U,1.0,26.09,26.09,13.388,4.399999999999999,5
15/01/2016,1552,2232,29A,IFUHU,1.0,11.19,11.19,4.814880952380952,7.156666666666667,24
15/01/2016,8453,2245,EKM,XSAJ4,2.0,64.11,32.055,7.866428571428572,7.930000000000003,9
15/01/2016,5612,2250,R6E,KS95Q,1.0,8.0,8.0,4.095641025641026,5.366666666666667,26
15/01/2016,4450,2261,0H2,LQ555,1.0,7.57,7.57,6.108095238095238,8.440000000000001,7
15/01/2016,26,2263,C8Z,ERTYE,1.0,16.12,16.12,9.010000000000002,10.516666666666666,23
15/01/2016,504,2269,FEW,F79YP,1.0,16.91,16.91,9.870666666666667,4.029999999999999,8
15/01/2016,6877,2271,06Z,C07LW,1.0,33.51,33.51,33.51,13.889999999999997,6
15/01/2016,6907,2278,2ML,3483Q,1.0,7.29,7.29,5.713333333333334,7.41,8
15/01/2016,2875,2299,FEW,KZ80B,1.0,9.38,9.38,9.870666666666667,4.700000000000001,6
15/01/2016,4245,2312,Q4N,PZOUM,1.0,14.8,14.8,10.123125000000002,6.815000000000001,6
15/01/2016,1666,2317,29A,PO1N6,1.0,4.71,4.71,4.814880952380952,6.64,18
15/01/2016,7994,2323,R6E,KS95Q,3.0,16.0,5.333333333333333,4.095641025641026,5.366666666666667,26
15/01/2016,2042,2331,0H2,CZUZX,2.0,12.67,6.335,6.108095238095238,6.535,13
16/01/2016,5055,2336,0H2,CZUZX,1.0,6.35,6.35,6.3685714285714266,6.535,13
16/01/2016,4864,2344,0H2,LQ555,1.0,7.57,7.57,6.3685714285714266,8.440000000000001,7
16/01/2016,316,2349,0H2,CZUZX,1.0,6.35,6.35,6.3685714285714266,6.535,13
16/01/2016,9051,2355,R6E,KS95Q,3.0,16.0,5.333333333333333,5.308205128205129,5.366666666666667,26
16/01/2016,3965,2378,J4R,ZE55T,1.0,21.34,21.34,13.0475,5.586666666666666,8
16/01/2016,711,2387,Q4N,967JZ,1.0,10.56,10.56,9.354166666666666,6.89,20
16/01/2016,1433,2388,0H2,CZUZX,1.0,6.35,6.35,6.3685714285714266,6.535,13
16/01/2016,5852,2391,29A,0PW5H,1.0,11.19,11.19,8.08111111111111,6.870000000000001,16
16/01/2016,2902,2395,DJI,JBXUP,1.0,21.93,21.93,21.93,5.190000000000001,5
16/01/2016,5289,2405,29A,0PW5H,3.0,22.38,7.46,8.08111111111111,6.870000000000001,16
16/01/2016,6302,2428,0H2,CZUZX,1.0,6.35,6.35,6.3685714285714266,6.535,13
16/01/2016,3691,2440,29A,PO1N6,1.0,7.44,7.44,8.08111111111111,6.64,18
16/01/2016,107,2456,R6E,KS95Q,3.0,16.0,5.333333333333333,5.308205128205129,5.366666666666667,26
17/01/2016,3611,2488,29A,0PW5H,3.0,22.38,7.46,6.6325,6.870000000000001,16
17/01/2016,318,2490,1TS,4VA7X,1.0,45.41,45.41,24.226,12.485,9
17/01/2016,112,2496,8HU,9YGOS,1.0,26.59,26.59,15.815,14.5,6
17/01/2016,5149,2500,2ML,3483Q,1.0,7.29,7.29,5.919999999999999,7.41,8
17/01/2016,5149,2500,0H2,LQ555,1.0,7.57,7.57,5.08,8.440000000000001,7
17/01/2016,4461,2501,29A,PO1N6,1.0,7.44,7.44,6.6325,6.64,18
17/01/2016,4004,2503,R6E,KS95Q,1.0,8.0,8.0,2.8737500000000002,5.366666666666667,26
17/01/2016,1666,2510,XG4,JSLMY,0.1,3.42,34.199999999999996,9.065999999999999,33.739999999999995,7
17/01/2016,8427,2519,1L6,PQ5EZ,1.0,9.93,9.93,27.425,6.265000000000001,15
17/01/2016,3017,2524,1TS,4VA7X,1.0,45.41,45.41,24.226,12.485,9
17/01/2016,5210,2525,LWD,08UZX,1.0,13.58,13.58,13.58,6.839999999999999,7
17/01/2016,3549,2533,29A,PO1N6,1.0,7.44,7.44,6.6325,6.64,18
18/01/2016,6897,2559,C8Z,520UE,1.0,9.06,9.06,12.363333333333335,5.463333333333335,17
18/01/2016,7315,2585,SIM,77SUN,1.0,23.68,23.68,23.68,7.879999999999999,6
18/01/2016,2083,2588,2O0,UCK6F,2.0,11.18,5.59,5.59,6.789999999999999,13
18/01/2016,6727,2625,0H2,CZUZX,1.0,6.35,6.35,6.5344999999999995,6.535,13
18/01/2016,5952,2632,N5F,AEKO3,1.0,18.63,18.63,11.3725,4.079999999999998,5
18/01/2016,3167,2641,DJI,JBXUP,1.0,21.93,21.93,18.436666666666667,5.190000000000001,5
18/01/2016,1273,2651,Q4N,LKDTY,1.0,8.69,8.69,10.501999999999999,4.93,10
18/01/2016,7033,2661,8HU,9YGOS,1.0,26.59,26.59,10.950777777777777,14.5,6
18/01/2016,5061,2662,FEW,F79YP,1.0,16.91,16.91,10.5475,4.029999999999999,8
18/01/2016,7058,2675,29A,0PW5H,3.0,22.38,7.46,7.739230769230769,6.870000000000001,16
18/01/2016,4268,2679,0H2,CZUZX,1.0,6.35,6.35,6.5344999999999995,6.535,13
18/01/2016,6931,2686,2O0,UCK6F,2.0,11.18,5.59,5.59,6.789999999999999,13
18/01/2016,3666,2714,0H2,CZUZX,1.0,6.35,6.35,6.5344999999999995,6.535,13
18/01/2016,8720,2718,0H2,CZUZX,1.0,6.35,6.35,6.5344999999999995,6.535,13
18/01/2016,5949,2726,29A,IFUHU,1.0,11.19,11.19,7.739230769230769,7.156666666666667,24
18/01/2016,3559,2730,0H2,LQ555,1.0,7.57,7.57,6.5344999999999995,8.440000000000001,7
19/01/2016,3634,2768,0H2,CZUZX,1.0,6.35,6.35,6.900909090909092,6.535,13
19/01/2016,8724,2771,1L6,PQ5EZ,1.0,9.93,9.93,9.934999999999999,6.265000000000001,15
19/01/2016,7083,2788,1L6,PQ5EZ,2.0,19.88,9.94,9.934999999999999,6.265000000000001,15
19/01/2016,3910,2793,29A,PO1N6,1.0,7.44,7.44,7.11625,6.64,18
19/01/2016,75,2812,LPF,BOH1U,1.0,26.09,26.09,12.290111111111113,4.399999999999999,5
19/01/2016,2771,2814,QV7,FZM7U,1.0,8.62,8.62,8.62,6.665,72
19/01/2016,2133,2839,EKM,ML051,3.0,96.18,32.06,8.812777777777777,7.930000000000003,10
19/01/2016,9384,2840,29A,PO1N6,1.0,7.44,7.44,7.11625,6.64,18
19/01/2016,329,2867,R6E,DUV2Y,1.0,7.81,7.81,7.961818181818182,4.070000000000001,18
19/01/2016,329,2867,29A,IFUHU,1.0,11.19,11.19,7.11625,7.156666666666667,24
19/01/2016,5155,2869,2O0,UCK6F,2.0,11.18,5.59,8.7175,6.789999999999999,13
19/01/2016,4897,2895,R6E,0DCAY,1.0,22.38,22.38,7.961818181818182,13.820000000000002,22
19/01/2016,7131,2913,29A,PO1N6,1.0,7.44,7.44,7.11625,6.64,18
19/01/2016,8222,2920,C8Z,8KNYA,1.0,22.18,22.18,11.168333333333335,4.814999999999998,7
20/01/2016,1924,2934,29A,PO1N6,1.0,7.44,7.44,7.1170833333333325,6.64,18
20/01/2016,881,2939,PBV,I68JU,0.33,13.77,41.72727272727273,41.72727272727273,8.892352941176476,7
20/01/2016,3198,2974,0H2,CZUZX,1.0,6.35,6.35,6.120384615384615,6.535,13
20/01/2016,1277,2975,PA3,W45SJ,1.0,22.62,22.62,30.525,4.375,7
20/01/2016,4673,2979,EKM,ML051,2.0,64.11,32.055,12.977857142857143,7.930000000000003,10
20/01/2016,7484,2983,FEW,F79YP,1.0,16.91,16.91,8.585,4.029999999999999,8
20/01/2016,1023,3015,0H2,CZUZX,2.0,12.69,6.345,6.120384615384615,6.535,13
20/01/2016,3778,3017,01F,QMSAV,1.0,65.11,65.11,13.174358974358976,5.829999999999998,9
20/01/2016,5807,3035,Q4N,11H2S,1.0,19.0,19.0,12.381,12.57,18
20/01/2016,8658,3043,29A,0PW5H,1.0,11.19,11.19,7.1170833333333325,6.870000000000001,16
20/01/2016,3588,3061,29A,0PW5H,3.0,22.38,7.46,7.1170833333333325,6.870000000000001,16
20/01/2016,146,3062,29A,PO1N6,1.0,7.44,7.44,7.1170833333333325,6.64,18
20/01/2016,499,3075,R6E,DUV2Y,1.0,7.81,7.81,6.293571428571428,4.070000000000001,18
20/01/2016,4657,3080,R6E,DUV2Y,1.0,7.81,7.81,6.293571428571428,4.070000000000001,18
20/01/2016,905,3086,0H2,CZUZX,1.0,6.35,6.35,6.120384615384615,6.535,13
20/01/2016,3602,3097,1TS,4VA7X,1.0,45.41,45.41,28.599999999999998,12.485,9
